funds_in_rupiah,gpa,religion,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,total_awardee,essay,SMP-SMA,SMA,Sarjana,SMP-SMA-Sarjana,SMA-Sarjana,Sarjana-Fresh Graduate,Fresh Graduate,SMP-SMA-Sarjana-Fresh Graduate,education_level
0.015151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
0.045454545454545456,0.0,3,0,2,0,0,0,3,2,1,0,0,1,0,0,0,0,0,6
0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.030303030303030304,2.9,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
0.30303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.06060606060606061,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.15151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,7
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.045454545454545456,0.0,3,0,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
0.02727272727272727,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.06212121212121212,0.0,3,0,2,0,1,0,3,0,1,0,0,0,0,0,1,0,0,7
0.030303030303030304,3.5,3,1,2,0,0,1,3,0,1,0,0,0,0,1,0,0,0,2
0.015151515151515152,3.5,1,1,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.30303030303030304,3.0,3,1,2,0,0,0,3,3,1,0,1,0,0,0,0,0,0,1
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
0.06866666666666667,3.0,3,1,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,3
0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.030303030303030304,0.0,3,0,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.13636363636363635,0.0,3,0,2,0,0,0,3,2,0,0,0,0,0,0,1,0,0,7
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.06060606060606061,3.0,3,1,2,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
0.06060606060606061,3.0,3,1,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
0.15151515151515152,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,0,2
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.01818181818181818,0.0,3,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,1,5
0.26515151515151514,0.0,3,0,2,0,0,0,3,5,1,0,0,0,0,0,0,0,1,5
0.09242424242424242,0.0,3,0,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
0.4090909090909091,0.0,3,0,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,6
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
0.07575757575757576,0.0,3,0,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,3
0.01818181818181818,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.06060606060606061,0.0,3,0,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,3
0.15151515151515152,0.0,3,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,1,5
0.12121212121212122,0.0,3,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,4
0.045454545454545456,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.015151515151515152,2.5,3,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.15151515151515152,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.07575757575757576,3.5,3,1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.030303030303030304,0.0,3,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1
0.030303030303030304,0.0,3,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,5
0.030303030303030304,3.0,3,1,2,0,0,0,3,1,1,0,1,0,0,0,0,0,0,1
0.030303030303030304,0.0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5
0.030303030303030304,0.0,3,0,2,1,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,1,5
0.015151515151515152,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
0.30303030303030304,0.0,3,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
0.06060606060606061,0.0,3,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,2
0.03333333333333333,0.0,3,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5
0.15151515151515152,3.0,3,1,2,0,0,0,3,0,1,0,0,1,0,0,0,0,0,6
0.07575757575757576,0.0,3,0,2,0,0,0,3,4,1,0,0,0,0,1,0,0,0,2
